,Lat,Lng,Income
113,28.263933,-80.7214417,57305.0
114,26.190096,-80.365865,61502.0
115,26.8946009,-81.909826,54652.0
116,28.8848842,-82.5185837,50751.0
117,29.9943564,-81.77870209999999,76687.0
118,26.069985,-81.42789839999999,76025.0
119,30.1812696,-82.605118,47094.0
120,30.3500511,-81.6035062,58415.0
121,30.6389408,-87.3413599,53136.0
122,29.4086072,-81.2518833,60204.0
123,28.5578826,-82.4752757,51031.0
124,27.3400286,-81.34002679999999,48698.0
125,27.9903597,-82.3017728,61154.0
126,27.6947732,-80.54384499999999,59782.0
127,28.702847,-81.77870209999999,57588.0
128,26.6630286,-81.9534815,62240.0
129,30.4906177,-84.1857115,54929.0
130,27.4799195,-82.34518899999999,64499.0
131,29.2787765,-82.12783999999999,49576.0
132,27.0804935,-80.4103957,70842.0
133,25.5516034,-80.6326916,55171.0
134,24.5557001,-81.78259849999999,68589.0
135,30.5927334,-81.8224362,70939.0
136,30.57734009999999,-86.6611083,64222.0
137,28.4844995,-81.2518833,63461.0
138,28.1019838,-81.0754657,51760.0
139,26.6514503,-80.2767327,66623.0
140,28.3232418,-82.4319405,55828.0
141,27.876394,-82.7778579,56737.0
142,27.8617347,-81.6911559,51833.0
143,29.6265157,-81.77870209999999,42899.0
144,29.9719419,-81.42789839999999,90356.0
145,27.3225563,-80.54384499999999,58039.0
146,30.7689907,-86.9824288,64930.0
147,27.1995986,-82.34518899999999,66342.0
148,28.7131688,-81.20781640000001,70190.0
149,28.6747526,-82.08429009999999,60287.0
150,29.0279842,-81.0754657,53766.0
151,30.56401989999999,-86.17517590000001,60457.0
152,34.0142667,-83.6986568,69890.0
153,34.2660473,-84.8150781,59911.0
154,32.7865735,-83.7199136,42140.0
155,32.3595678,-81.77870209999999,50436.0
156,33.5642239,-85.0649071,61133.0
157,34.8981727,-85.14793639999999,61487.0
158,31.9994194,-81.1196075,57611.0
159,34.2514526,-84.4802606,86404.0
160,33.9519347,-83.357567,39799.0
161,33.5571944,-84.375233,51093.0
162,33.8999297,-84.56414699999999,79601.0
163,33.5098514,-82.25832969999999,88761.0
164,33.3716708,-84.7315563,78423.0
165,33.7956441,-84.2278796,63652.0
166,31.5439375,-84.2278796,35062.0
167,33.7290225,-84.7315563,62669.0
168,33.4502206,-84.4802606,92172.0
169,34.2828967,-85.2308414,50880.0
170,34.2358502,-84.14351359999999,112108.0
171,33.8033965,-84.3962535,80013.0
172,31.2624169,-81.6035062,59004.0
173,33.9190653,-84.01674229999999,72109.0
174,34.30778,-83.804868,67467.0
175,33.4347963,-84.14351359999999,71939.0
176,32.4219655,-83.63484299999999,66740.0
177,34.1174511,-83.54965659999999,65063.0
178,30.8600022,-83.2934086,45683.0
179,32.4794133,-84.8984775,46934.0
180,33.5544296,-83.8473015,57254.0
181,33.9142037,-84.8984775,75800.0
182,33.3205339,-82.08429009999999,44973.0
183,33.6752492,-84.0378894,60560.0
184,33.2636732,-84.3121264,51677.0
185,33.0698575,-85.02334599999999,46198.0
186,34.6858231,-85.35496499999999,47856.0
187,33.7708613,-83.7199136,66176.0
188,34.8033566,-84.981754,52198.0
189,19.5429151,-155.6658568,67075.0
190,21.3069857,-157.8584319,87470.0
191,21.9661076,-159.5737912,81971.0
192,20.7983626,-156.3319253,80754.0
193,43.478767,-116.2420304,72021.0
194,42.5836362,-112.1430215,51989.0
195,43.4508683,-111.5455289,64618.0
196,43.67795810000001,-116.6865435,58945.0
197,47.7568407,-116.6222056,62579.0
198,42.335252,-114.6758916,56276.0
199,40.0577692,-91.13530200000001,55727.0
200,40.2138865,-88.24611829999999,52405.0
201,41.7376587,-87.697554,69429.0
202,41.8329981,-88.7108964,64131.0
203,41.8243831,-88.0900762,96403.0
204,41.987884,-88.4016041,84368.0
205,41.1790977,-87.77633329999999,60923.0
206,41.5507043,-88.4403883,104858.0
207,42.3689363,-87.8271534,92511.0
208,41.4363987,-88.94138650000001,59130.0
209,42.3039993,-88.4016041,88879.0
